timestamp,ticker,entry_time,exit_time,trade_id,open_count,open_trade_ids,open_exits
2024-02-12 11:30:00-05:00,CAT,2024-02-12 11:30:00-05:00,2024-02-12 11:30:00-05:00,37,2,"[35, 36]","['2024-02-12 13:45:00', '2024-02-12 14:45:00']"
2024-02-22 09:45:00-05:00,JPM,2024-02-22 09:45:00-05:00,2024-02-22 09:45:00-05:00,85,2,"[81, 84]","['2024-02-22 10:30:00', '2024-02-22 11:30:00']"
2024-05-10 09:45:00-04:00,JPM,2024-05-10 09:45:00-04:00,2024-05-10 09:45:00-04:00,418,2,"[415, 417]","['2024-05-10 10:45:00', '2024-05-10 10:00:00']"
2024-12-16 10:00:00-05:00,GS,2024-12-16 10:00:00-05:00,2024-12-16 10:00:00-05:00,1377,2,"[1375, 1376]","['2024-12-16 10:15:00', '2024-12-16 10:15:00']"
2025-01-23 10:45:00-05:00,CAT,2025-01-23 10:45:00-05:00,2025-01-23 10:45:00-05:00,1524,2,"[1522, 1523]","['2025-01-23 11:45:00', '2025-01-23 11:00:00']"
2025-03-26 09:45:00-04:00,GS,2025-03-26 09:45:00-04:00,2025-03-26 09:45:00-04:00,1771,2,"[1769, 1770]","['2025-03-26 10:00:00', '2025-03-26 10:15:00']"
2025-04-08 09:30:00-04:00,CAT,2025-04-08 09:30:00-04:00,2025-04-08 09:30:00-04:00,1821,2,"[1819, 1820]","['2025-04-08 12:15:00', '2025-04-08 11:00:00']"
2025-04-23 09:45:00-04:00,GS,2025-04-23 09:45:00-04:00,2025-04-23 09:45:00-04:00,1869,2,"[1867, 1868]","['2025-04-23 11:15:00', '2025-04-23 10:15:00']"
2025-08-20 15:15:00-04:00,CAT,2025-08-20 15:15:00-04:00,2025-08-20 15:15:00-04:00,2370,2,"[2368, 2369]","['2025-08-20 15:45:00', '2025-08-20 16:30:00']"
2025-09-26 09:45:00-04:00,JPM,2025-09-26 09:45:00-04:00,2025-09-26 09:45:00-04:00,2566,2,"[2564, 2565]","['2025-09-26 10:00:00', '2025-09-26 10:00:00']"
2025-10-22 15:45:00-04:00,CAT,2025-10-22 15:45:00-04:00,2025-10-22 15:45:00-04:00,2673,2,"[2669, 2672]","['2025-10-22 16:30:00', '2025-10-22 16:30:00']"
2025-11-24 09:45:00-05:00,GS,2025-11-24 09:45:00-05:00,2025-11-24 09:45:00-05:00,2830,2,"[2828, 2829]","['2025-11-24 10:00:00', '2025-11-24 10:15:00']"
2026-02-02 09:45:00-05:00,CAT,2026-02-02 09:45:00-05:00,2026-02-02 09:45:00-05:00,3122,2,"[3120, 3121]","['2026-02-02 10:00:00', '2026-02-02 10:00:00']"
